obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
204, 208.0, 29259, 28894, 13398, 4628, 9817, 5374, 8468, 2592, 53, 20, NA, 102430,  X
205, 209.0, 36718, 10144, 41766, 8447, 8855, 5394, 4952, 1360, 37, 38, NA, 117636,  X
206, 210.0, 85566, 41960, 6539, 1675, 9755, 3962, 2604, 1073, 26, 35, NA, 153134,  X
207, 211.0, 32706, 37340, 12000, 5381, 10596, 6828, 2147, 1845, 30, 50, NA, 108843,  X
208, 212.0, 92247, 26839, 24382, 7380, 11386, 10869, 3148, 3270, 35, 53, NA, 179521,  X
209, 213.0, 44323, 31205, 7239, 13536, 4921, 17606, 2601, 3719, 48, 38, NA, 125150,  X
210, 214.0, 260143, 93414, 11401, 6428, 4688, 9800, 5123, 1880, 50, 38, NA, 392877,  X
211, 215.0, 33492, 18305, 22639, 11892, 13400, 7505, 3803, 2023, 51, 48, NA, 113059,  X
212, 216.0, 43374, 34795, 6413, 9744, 10857, 13174, 3296, 2117, 54, 38, NA, 123770,  X
213, 217.0, 32407, 20898, 12286, 13982, 9187, 8305, 5521, 1231, 48, 43, NA, 103817,  X
214, 218.0, 40513, 15964, 6439, 6602, 6705, 9699, 1888, 1193, 61, 51, NA, 89003,  X
215, 219.0, 49888, 26001, 8220, 22818, 5106, 29411, 2353, 2927, 74, 47, NA, 146724,  X
216, 220.0, 56383, 51422, 50792, 6427, 12622, 6967, 1748, 4391, 60, 56, NA, 190752,  X
217, 221.0, 154598, 28809, 24722, 13741, 3544, 9036, 2005, 1080, 56, 60, NA, 237535,  X
218, 222.0, 41598, 28467, 3802, 11274, 10789, 5589, 4630, 1393, 47, 57, NA, 107542,  X
219, 223.0, 20858, 13634, 6332, 1360, 4297, 2781, 1897, 3594, 34, 56, NA, 54753,  X
220, 224.0, 20995, 25060, 2341, 5414, 8560, 3472, 3095, 1547, 37, 43, NA, 70484,  X
221, 225.0, 22882, 40591, 11314, 7723, 2212, 3692, 2331, 3356, 29, 37, NA, 94101,  X
222, 226.0, 63452, 64366, 9878, 12270, 10141, 7638, 5790, 2753, 26, 34, NA, 176288,  X
223, 227.0, 84300, 15083, 23073, 23669, 6370, 7490, 3765, 3099, 26, 47, NA, 166849,  X
224, 228.0, 157753, 83002, 26826, 12736, 14460, 13115, 5364, 1416, 26, 51, NA, 314672,  X
225, 229.0, 30409, 26480, 15416, 18386, 10881, 12658, 1353, 2299, 38, 54, NA, 117882,  X
226, 229.9, 43013, 84107, 9595, 12552, 14495, 13423, 3057, 5967, 43, 53, NA, 186209,  X
227, 231.0, 33444, 47490, 26747, 18806, 12250, 10347, 2421, 1188, 43, 44, NA, 152693,  X
228, 232.0, 36361, 40940, 13963, 25193, 9397, 13270, 2272, 2769, 47, 50, NA, 144165,  X
229, 233.0, 28222, 45682, 22459, 17919, 10503, 2970, 2721, 4058, 29, 48, NA, 134534,  X
230, 234.0, 16162, 90021, 12394, 12095, 8565, 17075, 6063, 1205, 30, 48, NA, 163580,  X
231, 235.0, 8686, 61120, 6972, 19996, 7157, 5623, 3124, 3092, 24, 43, NA, 115770,  X
232, 235.9, 23766, 76415, 15237, 17435, 12378, 9501, 12131, 2774, 20, 38, NA, 169637,  X
233, 237.0, 84077, 24025, 8838, 1006, 1215, 833, 615, 444, 16, 35, NA, 121053,  X
234, 238.0, 30664, 28055, 12022, 3184, 3024, 6288, 2833, 2773, 14, 41, NA, 88843,  X
235, 239.0, 42445, 80737, 4260, 4468, 4928, 9965, 6791, 3296, 21, 27, NA, 156890,  X
236, 240.0, 646483, 80208, 3003, 11232, 20869, 12344, 5524, 3250, 24, 20, NA, 782913,  X
237, 241.0, 139184, 40955, 9540, 5238, 13987, 8589, 2674, 2744, 43, 14, NA, 222911,  X
238, 242.0, 68311, 65907, 39372, 4101, 19123, 15812, 5507, 1741, 43, 14, NA, 219874,  X
239, 242.9, 70267, 24430, 21616, 15706, 5529, 3131, 5908, 2515, 35, 38, NA, 149102,  X
240, 244.0, 51819, 34223, 8057, 28539, 8100, 11201, 4033, 2694, 37, 53, NA, 148666,  X
241, 245.0, 47622, 50145, 14317, 22431, 6266, 42605, 12682, 2233, 47, 56, NA, 198301,  X
242, 246.0, 403275, 19711, 3190, 2484, 1760, 4481, 1338, 494, 48, 51, NA, 436733,  X
243, 247.0, 65506, 47757, 19516, 12567, 5175, 5990, 2319, 3597, 53, 44, NA, 162427,  X
244, 248.0, 111595, 127558, 64613, 11549, 7274, 5491, 5080, 2302, 37, 43, NA, 335462,  X
245, 249.0, 40990, 62748, 10625, 2794, 7729, 4517, 1776, 627, 14, 37, NA, 131806,  X
246, 250.0, 38217, 71468, 14800, 11149, 14711, 5147, 5587, 2534, 4, 38, NA, 163613,  X
247, 251.0, 36390, 35552, 7771, 5621, 12643, 4597, 3594, 2805, 7, 30, NA, 108973,  X
248, 251.9, 7219, 30105, 9033, 2598, 5523, 6318, 2741, 1704, 23, 24, NA, 65241,  X
249, 253.0, 27263, 65581, 6701, 6388, 11200, 2490, 2860, 1505, 17, 24, NA, 123988,  X
250, 254.0, 38427, 76176, 33513, 6169, 16273, 10118, 4864, 1589, 21, 27, NA, 187129,  X
251, 255.0, 125250, 9346, 10035, 3619, 4270, 2108, 1071, 222, 21, 38, NA, 155921,  X
252, 256.0, 27385, 81665, 72317, 7034, 6921, 7481, 5044, 881, 10, 48, NA, 208728,  X
253, 257.0, 77448, 24099, 12238, 10423, 9240, 26338, 5308, 1763, 38, 56, NA, 166857,  X
254, 257.9, 122589, 42376, 13966, 14388, 9856, 14988, 4417, 2169, 47, 56, NA, 224749,  X
255, 259.0, 54139, 40045, 14070, 12521, 12710, 7450, 1683, 1521, 48, 50, NA, 144139,  X
256, 260.0, 103201, 46921, 14694, 18825, 8196, 18895, 2842, 2976, 63, 44, NA, 216550,  X
257, 261.0, 5659, 96169, 12963, 4625, 15410, 7575, 6049, 1917, 43, 37, NA, 150367,  X
258, 262.0, 82538, 24058, 6732, 18077, 16116, 8872, 2594, 2286, 43, 40, NA, 161273,  X
259, 263.0, 59513, 17554, 4551, 1734, 1450, 2387, 339, 266, 43, 37, NA, 87794,  X
260, 264.0, 197035, 71521, 33327, 13686, 7532, 13091, 4210, 3273, 35, 37, NA, 343675,  X
261, 265.0, 106989, 140289, 20242, 11737, 28375, 4485, 3676, 3102, 24, 38, NA, 318895,  X
262, 266.0, 5650, 33263, 2360, 37972, 18112, 7792, 3096, 1824, 20, 40, NA, 110069,  X
263, 267.0, 317812, 6142, 6206, 3950, 2631, 1940, 726, 335, 21, 50, NA, 339742,  X
264, 268.0, 68301, 27571, 5187, 10466, 7280, 11099, 2276, 2095, 29, 48, NA, 134275,  X
265, 269.0, 71420, 37249, 17749, 15827, 22175, 7768, 2251, 2532, 44, 56, NA, 176971,  X
266, 270.0, 63775, 12469, 9591, 4149, 1262, 1701, 779, 207, 40, 57, NA, 93933,  X
267, 271.0, 41405, 45452, 9751, 20700, 16351, 7527, 1016, 2417, 37, 51, NA, 144619,  X
268, 272.0, 37745, 12732, 14542, 31329, 18648, 5421, 2483, 2369, 26, 63, NA, 125269,  X
269, 272.9, 92190, 37965, 5153, 21478, 22285, 12584, 1842, 928, 30, 61, NA, 194425,  X
270, 273.9, 87738, 201881, 9021, 47827, 9186, 6019, 2443, 1956, 21, 50, NA, 366071,  X
271, 275.0, 114348, 108272, 17078, 20267, 3697, 8546, 3873, 2391, 16, 48, NA, 278472,  X
272, 276.0, 73181, 101093, 13685, 43450, 4207, 3675, 4371, 1874, 4, 38, NA, 245536,  X
273, 277.0, 23336, 49232, 9167, 29792, 10409, 6390, 2350, 1222, 1, 41, NA, 131898,  X
274, 278.0, 71436, 6361, 2634, 6414, 2931, 1432, 306, 852, 8, 53, NA, 92366,  X
275, 278.9, 12610, 24610, 16461, 29769, 11848, 5658, 2684, 1406, 11, 64, NA, 105046,  X
276, 280.0, 34744, 87429, 4326, 7991, 5711, 10288, 1701, 2924, 24, 51, NA, 155114,  X
277, 281.0, 108295, 27282, 2026, 4433, 2068, 1472, 590, 532, 20, 41, NA, 146698,  X
278, 282.0, 45057, 117736, 14723, 7586, 5666, 8821, 2661, 541, 16, 26, NA, 202791,  X
279, 283.0, 46063, 18160, 13179, 16177, 9246, 5736, 868, 729, 20, 23, NA, 110158,  X
280, 284.0, 13040, 19243, 9985, 5037, 7373, 7859, 4590, 2729, 27, 35, NA, 69856,  X
281, 285.0, 40858, 36450, 20725, 4873, 8650, 7157, 5390, 1105, 37, 43, NA, 125208,  X
282, 287.0, 16370, 44389, 4371, 14587, 5595, 4606, 2226, 1451, 38, 51, NA, 93595,  X
283, 288.0, 488303, 224346, 7367, 21986, 14817, 48498, 5517, 4472, 41, 34, NA, 815306,  X
284, 289.0, 101239, 77725, 9458, 2330, 3430, 2775, 1014, 284, 21, 21, NA, 198255,  X
285, 290.0, 50370, 73474, 15723, 8315, 19157, 4103, 5700, 1902, 14, 16, NA, 178744,  X
286, 291.0, 9032, 15965, 10340, 6197, 5007, 2233, 3934, 646, 14, 23, NA, 53354,  X
287, 292.0, 162434, 57466, 4785, 18501, 8997, 5568, 1816, 1696, 4, 34, NA, 261263,  X
288, 293.0, 16777, 89368, 3696, 6786, 19838, 4795, 2896, 1028, 10, 29, NA, 145184,  X
289, 294.0, 91323, 32882, 44250, 10166, 25468, 9093, 2584, 1388, 16, 40, NA, 217154,  X
290, 295.0, 46019, 41549, 16872, 17644, 8867, 4043, 3075, 1783, 14, 38, NA, 139852,  X
291, 296.0, 35972, 135208, 11925, 5565, 7246, 7210, 4874, 858, 11, 29, NA, 208858,  X
292, 297.0, 48278, 42469, 5831, 2141, 7267, 8274, 5142, 1521, 23, 34, NA, 120923,  X
293, 298.0, 2140, 22175, 9483, 12368, 14712, 2335, 2569, 3210, 17, 29, NA, 68992,  X
294, 299.0, 61017, 119289, 13404, 26852, 13034, 2860, 2406, 1215, 8, 21, NA, 240077,  X
295, 300.0, 27344, 34229, 13872, 3036, 5450, 4253, 3568, 4247, 13, 34, NA, 95999,  X
296, 301.0, 12489, 22797, 5083, 19673, 5007, 4493, 4101, 1863, 8, 50, NA, 75506,  X
297, 302.0, 6936, 26352, 6141, 9114, 8316, 9775, 1374, 2467, 21, 44, NA, 70475,  X
298, 303.0, 31874, 9258, 28082, 5697, 15663, 6178, 3802, 1864, 41, 57, NA, 102418,  X
299, 304.0, 44057, 30086, 41783, 8695, 4353, 14187, 4477, 1332, 48, 66, NA, 148970,  X
300, 305.0, 33983, 18887, 2559, 4970, 6150, 10245, 5394, 3939, 61, 54, NA, 86127,  X
301, 306.0, 31024, 69002, 4164, 22141, 4418, 5232, 1913, 1508, 48, 54, NA, 139402,  X
302, 307.0, 48256, 31018, 18819, 4440, 7658, 12881, 2909, 746, 53, 47, NA, 126727,  X
303, 308.0, 26737, 44098, 31117, 9140, 6772, 13980, 1660, 2797, 51, 40, NA, 136301,  X
304, 309.0, 90116, 6435, 672, 1170, 1641, 4050, 883, 273, 53, 38, NA, 105240,  X
305, 310.0, 80198, 21443, 5733, 16027, 21260, 9812, 7576, 2277, 66, 40, NA, 164326,  X
306, 311.0, 99218, 58497, 43126, 31097, 14950, 9063, 5755, 2142, 53, 47, NA, 263848,  X
307, 312.0, 100075, 74593, 80616, 22478, 23735, 3496, 5736, 4116, 34, 51, NA, 314845,  X
308, 313.0, 10301, 29294, 11919, 16549, 4283, 4448, 1153, 1573, 16, 64, NA, 79520,  X
309, 314.0, 159499, 39614, 17559, 5908, 3846, 2124, 983, 458, 1, 66, NA, 229991,  X
310, 315.0, 50207, 115617, 12569, 3118, 9529, 7367, 2877, 1427, 1, 48, NA, 202711,  X
311, 316.0, 124132, 28932, 6591, 2529, 402, 907, 695, 777, 1, 37, NA, 164965,  X
312, 317.0, 14155, 14977, 73024, 6858, 9617, 4017, 2719, 2325, 1, 50, NA, 127692,  X
313, 318.0, 77533, 20005, 13978, 2148, 3122, 6828, 1908, 1283, 10, 50, NA, 126805,  X
314, 319.0, 19781, 65515, 7305, 23453, 9110, 9558, 3296, 1352, 16, 61, NA, 139370,  X
315, 320.0, 2320640, 242804, 163778, 55664, 196013, 141233, 57797, 30906, 40, 63, NA, 3208835,  X
316, 321.0, 1376058, 149455, 30014, 19355, 8210, 23306, 28423, 4483, 50, 41, NA, 1639304,  X
317, 322.0, 1220143, 80753, 10082, 22290, 2744, 5948, 2693, 1239, 37, 40, NA, 1345892,  X
318, 323.0, 1059460, 70591, 148050, 19915, 41828, 7963, 10042, 14068, 26, 51, NA, 1371917,  X
319, 323.9, 175193, 130779, 11430, 2991, 1324, 6225, 2816, 3243, 8, 40, NA, 334001,  X
320, 325.0, 544214, 352136, 28563, 120708, 17823, 30069, 10856, 7710, 1, 43, NA, 1112079,  X
321, 326.0, 456712, 39419, 7479, 10675, 4849, 4999, 2295, 978, 4, 41, NA, 527406,  X
322, 327.0, 1108481, 231359, 1788, 5008, 17379, 14654, 9515, 29140, 11, 10, NA, 1417324,  X
323, 328.0, 132205, 11848, 301, 697, 1303, 1483, 1162, 527, 20, 11, NA, 149526,  X
324, 329.0, 1162600, 474120, 111625, 48117, 10468, 21677, 19697, 9960, 14, 13, NA, 1858264,  X
325, 329.9, 1787731, 171502, 35733, 18264, 12761, 20338, 26211, 14500, 16, 13, NA, 2087040,  X
326, 330.9, 76477, 67804, 7372, 7554, 5898, 3114, 3720, 1378, 11, 29, NA, 173317,  X
327, 331.9, 385396, 7420, 7343, 381, 5426, 767, 1468, 867, 3, 47, NA, 409068,  X
328, 333.0, 1229015, 51523, 3581, 31660, 15029, 9434, 13190, 18962, 14, 50, NA, 1372394,  X
329, 334.0, 203987, 101890, 3341, 4973, 7606, 4506, 3930, 885, 7, 41, NA, 331118,  X
330, 334.9, 148077, 35122, 33144, 4574, 2316, 1646, 5059, 3497, 1, 53, NA, 233435,  X
331, 336.0, 1416606, 191147, 16788, 40700, 11653, 7841, 22052, 10170, 1, 48, NA, 1716957,  X
332, 336.9, 712222, 281054, 23629, 32955, 22988, 8564, 28357, 5812, 1, 41, NA, 1115581,  X
333, 337.9, 534301, 308629, 56292, 42337, 43791, 26199, 12829, 3356, 1, 50, NA, 1027734,  X
334, 338.9, 1631725, 46716, 9256, 38760, 10738, 14190, 9883, 11555, 7, 47, NA, 1772823,  X
335, 340.0, 891720, 34507, 3588, 14769, 5066, 3976, 3509, 3708, 14, 50, NA, 960843,  X
336, 340.9, 136041, 12189, 4915, 2268, 1790, 447, 514, 589, 13, 57, NA, 158753,  X
337, 342.0, 1153054, 71053, 38634, 35585, 36564, 25186, 8253, 9133, 23, 64, NA, 1377462,  X
338, 343.0, 233648, 268412, 33304, 75981, 26610, 14620, 12519, 5369, 11, 60, NA, 670463,  X
339, 343.9, 1484838, 88132, 12469, 7375, 8432, 9000, 17330, 6728, 11, 53, NA, 1634304,  X
340, 344.9, 149398, 116258, 3749, 24347, 31516, 13230, 8661, 5820, 24, 44, NA, 352979,  X
341, 346.0, 617147, 172525, 57798, 20926, 18171, 12761, 23359, 3927, 11, 41, NA, 926614,  X
342, 346.9, 1180885, 280400, 89641, 6968, 27852, 18416, 11700, 7525, 13, 40, NA, 1623387,  X
343, 347.9, 305094, 107921, 27160, 24541, 6776, 30562, 21070, 9870, 21, 44, NA, 532994,  X
344, 349.0, 129142, 87990, 8721, 4064, 4142, 4344, 2426, 2432, 14, 43, NA, 243261,  X
345, 349.9, 688822, 190473, 7379, 18535, 12968, 11750, 13218, 6409, 16, 34, NA, 949554,  X
346, 351.0, 456107, 188370, 30441, 16210, 39293, 11527, 19895, 9396, 16, 29, NA, 771239,  X
347, 351.9, 897120, 500394, 81479, 4033, 35772, 19169, 13701, 8384, 1, 23, NA, 1560052,  X
348, 353.0, 780268, 53605, 6039, 6626, 3012, 7742, 4800, 2363, 8, 26, NA, 864455,  X
349, 353.9, 263160, 53176, 6785, 4894, 4955, 6208, 3630, 2354, 14, 29, NA, 345162,  X
350, 354.9, 1334062, 105143, 89749, 38953, 27839, 25449, 24675, 17196, 21, 41, NA, 1663066,  X
351, 355.9, 1312682, 14381, 23683, 19959, 4936, 5253, 4803, 1817, 30, 61, NA, 1387514,  X
352, 356.9, 1088036, 71055, 34778, 18015, 22736, 13702, 18299, 8769, 29, 67, NA, 1275390,  X
353, 357.9, 858414, 541558, 119768, 40730, 23145, 9057, 11079, 6619, 14, 70, NA, 1610370,  X
354, 359.0, 1999057, 667907, 26174, 46523, 5092, 8267, 14426, 11490, 1, 54, NA, 2778936,  X
355, 359.9, 803376, 38694, 4371, 4841, 7875, 4800, 7193, 2428, 1, 37, NA, 873578,  X
356, 361.0, 497926, 123422, 19207, 17440, 8508, 11546, 17451, 15973, 1, 30, NA, 711473,  X
357, 362.0, 774255, 49959, 45598, 3886, 16111, 26016, 13411, 3851, 27, 37, NA, 933087,  X
358, 363.0, 918440, 684550, 119782, 41577, 38856, 42252, 43209, 12670, 40, 43, NA, 1901336,  X
359, 364.0, 736965, 322046, 20825, 91085, 83142, 15928, 15055, 4350, 30, 47, NA, 1289396,  X
360, 365.0, 2525182, 298392, 135329, 37209, 40810, 15386, 19743, 11901, 24, 51, NA, 3083952,  X
361, 366.0, 368244, 182695, 26757, 13558, 6728, 9466, 7676, 12674, 10, 43, NA, 627798,  X
362, 366.9, 264408, 44391, 12820, 4731, 5922, 5422, 12255, 4011, 13, 47, NA, 353960,  X
363, 368.0, 293944, 541645, 13988, 18095, 9619, 14919, 10608, 5282, 10, 35, NA, 908100,  X
364, 369.0, 321651, 169360, 15123, 5601, 1960, 5914, 13768, 13991, 8, 23, NA, 547368,  X
365, 370.0, 1331601, 308338, 81450, 49966, 25306, 46684, 31353, 25649, 16, 27, NA, 1900347,  X
366, 371.0, 2468088, 938374, 45153, 26410, 67353, 33299, 10096, 14076, 10, 16, NA, 3602849,  X
367, 372.0, 1110038, 86542, 69626, 48849, 35481, 41684, 17078, 5137, 27, 37, NA, 1414435,  X
368, 373.0, 2038102, 399837, 11597, 53936, 5666, 28885, 17530, 31569, 35, 38, NA, 2587122,  X
369, 374.0, 1276897, 72535, 43364, 82888, 21596, 42878, 21366, 11500, 40, 44, NA, 1573024,  X
370, 375.0, 2098559, 82736, 40947, 23061, 21272, 62772, 30026, 15192, 63, 60, NA, 2374565,  X
371, 375.9, 297497, 19026, 5240, 3042, 1852, 2251, 1729, 1140, 54, 53, NA, 331777,  X
372, 377.0, 1039747, 421880, 76775, 40780, 57433, 70085, 22962, 48252, 61, 56, NA, 1777914,  X
373, 377.9, 556694, 172038, 4945, 6794, 6252, 14158, 5124, 2861, 51, 35, NA, 768866,  X
374, 379.0, 123549, 309937, 13085, 62133, 33652, 29569, 42769, 18252, 37, 29, NA, 632946,  X
375, 379.9, 91935, 22353, 2995, 9034, 692, 1465, 1694, 598, 29, 30, NA, 130766,  X
376, 381.0, 580530, 486172, 64051, 94096, 80488, 46432, 44978, 11278, 24, 34, NA, 1408025,  X
377, 382.0, 1054988, 108874, 38901, 14549, 22001, 59219, 60575, 23313, 40, 47, NA, 1382420,  X
378, 383.0, 1066335, 57961, 22436, 5392, 1472, 7734, 7134, 3452, 41, 51, NA, 1171916,  X
379, 383.9, 944973, 216632, 138907, 20356, 30042, 42151, 32352, 28339, 51, 51, NA, 1453752,  X
380, 384.9, 417253, 335074, 57638, 91240, 13844, 54015, 17420, 32421, 54, 54, NA, 1018905,  X
381, 386.0, 873556, 94924, 39229, 10210, 25471, 10859, 12122, 4487, 40, 56, NA, 1070858,  X
382, 387.0, 210833, 65866, 9597, 43827, 12251, 13053, 4334, 3273, 41, 60, NA, 363034,  X
383, 388.0, 1597166, 494686, 61245, 47135, 68776, 64493, 34926, 14127, 40, 50, NA, 2382554,  X
384, 389.0, 378690, 116563, 11297, 13755, 10713, 18725, 13773, 4950, 41, 44, NA, 568466,  X
385, 390.0, 253545, 181254, 22368, 21175, 5082, 13171, 9110, 5214, 40, 40, NA, 510919,  X
386, 390.9, 44531, 39242, 3937, 937, 4185, 4483, 1379, 585, 40, 26, NA, 99279,  X
387, 391.9, 2029261, 86621, 14660, 28610, 13766, 18981, 7240, 8905, 41, 30, NA, 2208044,  X
388, 392.9, 135344, 20234, 1583, 7244, 3792, 1869, 1913, 449, 35, 37, NA, 172428,  X
389, 393.9, 555983, 134425, 34154, 14634, 7204, 20901, 20315, 9216, 41, 41, NA, 796832,  X
390, 395.0, 2058358, 371044, 104333, 64258, 44264, 48856, 61713, 55103, 40, 51, NA, 2807929,  X
391, 395.9, 494016, 20876, 6461, 3376, 3972, 8662, 1434, 889, 44, 50, NA, 539686,  X
392, 397.0, 224725, 5773, 4896, 879, 346, 2137, 392, 177, 54, 56, NA, 239325,  X
393, 397.9, 192429, 9825, 15792, 1420, 3436, 2674, 1485, 373, 53, 66, NA, 227434,  X
394, 398.9, 167016, 19792, 3182, 2676, 4718, 9855, 3472, 4555, 67, 60, NA, 215266,  X
395, 399.9, 176966, 241345, 18600, 25705, 22701, 9081, 5967, 5824, 48, 54, NA, 506189,  X
396, 401.0, 168934, 194127, 30584, 23496, 32533, 13029, 3138, 3723, 35, 47, NA, 469564,  X
397, 402.0, 79066, 59386, 14265, 8712, 7282, 3810, 1903, 1110, 27, 37, NA, 175534,  X
398, 402.9, 385725, 400421, 99585, 31961, 10361, 11536, 13624, 4639, 1, 43, NA, 957852,  X
399, 404.0, 367799, 208831, 9311, 29332, 17724, 24941, 28897, 5657, 11, 43, NA, 692492,  X
400, 404.9, 721116, 185128, 17607, 26955, 18744, 13667, 6526, 7046, 13, 41, NA, 996789,  X
401, 406.0, 87461, 99436, 25689, 31043, 28618, 17207, 37533, 5868, 23, 43, NA, 332855,  X
402, 406.9, 914686, 158545, 11974, 39119, 27839, 12047, 4856, 5361, 30, 40, NA, 1174427,  X
403, 408.0, 1718102, 147447, 10663, 11938, 10456, 19728, 14676, 11022, 34, 40, NA, 1944032,  X
404, 408.9, 124726, 19063, 15461, 24206, 10765, 10690, 10051, 5023, 43, 53, NA, 219985,  X
405, 410.0, 845997, 263824, 50602, 71701, 26887, 56917, 60134, 4428, 44, 51, NA, 1380490,  X
